# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00074.dat
q(1/A)          Column          Error           
0.0040000000    0.8392997600    0.0213113620    
0.0042415885    0.8492066900    0.0201621390    
0.0044831771    0.6828757900    0.0168316540    
0.0047247656    0.5565738500    0.0147130590    
0.0049663541    0.4197100100    0.0120459200    
0.0052079426    0.3499549300    0.0113183510    
0.0054495312    0.2847044400    0.0094120385    
0.0056911197    0.2563895700    0.0084209384    
0.0059327082    0.2032862300    0.0074983256    
0.0061742967    0.1811033900    0.0067823754    
0.0064158853    0.1530869800    0.0061730628    
0.0066574738    0.1266834700    0.0053061869    
0.0068990623    0.1108834000    0.0050092014    
0.0071406509    0.0958567730    0.0045749941    
0.0073822394    0.0958961480    0.0044233595    
0.0076238279    0.0721484610    0.0037457615    
0.0078654164    0.0742750880    0.0038613779    
0.0081070050    0.0683633380    0.0035115888    
0.0083485935    0.0644169550    0.0032915526    
0.0085901820    0.0589910840    0.0031713803    
0.0088317705    0.0573813510    0.0030454859    
0.0090733591    0.0539330820    0.0029335729    
0.0093149476    0.0491917120    0.0026997459    
0.0095565361    0.0472655300    0.0026463616    
0.0097981247    0.0466728590    0.0026297177    
0.0100397130    0.0424550160    0.0024230357    
0.0102813020    0.0353121790    0.0022606306    
0.0105228900    0.0365762810    0.0021552781    
0.0107644790    0.0364307600    0.0021732769    
0.0110060670    0.0361060010    0.0021093351    
0.0112476560    0.0340437330    0.0020381450    
0.0114892440    0.0333081230    0.0019869960    
0.0117308330    0.0306455750    0.0018969135    
0.0119724210    0.0332276500    0.0019478393    
0.0122140100    0.0302742870    0.0018424344    
0.0124555980    0.0294276330    0.0017617863    
0.0126971870    0.0274711120    0.0017550650    
0.0129387760    0.0273011130    0.0016553731    
0.0131803640    0.0275888460    0.0016915807    
0.0134219530    0.0281725580    0.0016486742    
0.0136635410    0.0313097100    0.0017448219    
0.0139051300    0.0239198400    0.0015250733    
0.0141467180    0.0237776160    0.0014861010    
0.0143883070    0.0248921920    0.0014983339    
0.0146298950    0.0267861630    0.0015542908    
0.0148714840    0.0235194600    0.0014671036    
0.0151130720    0.0229223060    0.0014326441    
0.0153546610    0.0238965040    0.0014081150    
0.0155962490    0.0224368390    0.0013782841    
0.0158378380    0.0261852920    0.0014547385    
0.0160794260    0.0215786210    0.0013205901    
0.0163210150    0.0211815540    0.0012796245    
0.0165626030    0.0202349430    0.0012746816    
0.0168041920    0.0238488060    0.0013331888    
0.0170457800    0.0217995250    0.0012823250    
0.0172873690    0.0204950680    0.0012358991    
0.0175289580    0.0234929260    0.0013153514    
0.0177705460    0.0257456380    0.0013531607    
0.0180121350    0.0223195350    0.0012457550    
0.0182537230    0.0191112180    0.0011400797    
0.0184953120    0.0215777420    0.0012081216    
0.0187369000    0.0204278310    0.0011754896    
0.0189784890    0.0208504180    0.0011565731    
0.0192200770    0.0180733200    0.0010938471    
0.0194616660    0.0210577880    0.0011505099    
0.0197032540    0.0213817540    0.0011682100    
0.0199448430    0.0222753200    0.0011923705    
0.0201864310    0.0221263920    0.0011793407    
0.0204280200    0.0177628750    0.0010359519    
0.0206696080    0.0177885240    0.0010219240    
0.0209111970    0.0201099480    0.0011103861    
0.0211527850    0.0202825260    0.0010810623    
0.0213943740    0.0201453090    0.0010799019    
0.0216359620    0.0196332780    0.0010710831    
0.0218775510    0.0206084190    0.0010922440    
0.0221191400    0.0192551710    0.0010366635    
0.0223607280    0.0194401410    0.0010346943    
0.0226023170    0.0225548970    0.0011480140    
0.0228439050    0.0199778530    0.0010330302    
0.0230854940    0.0189350860    0.0010035575    
0.0233270820    0.0185897000    0.0009922448    
0.0235686710    0.0207077280    0.0010539956    
0.0238102590    0.0192348750    0.0009946117    
0.0240518480    0.0204217570    0.0010185447    
0.0242934360    0.0204994520    0.0010353787    
0.0245350250    0.0188731780    0.0009811698    
0.0247766130    0.0196517300    0.0009951040    
0.0250182020    0.0191834450    0.0009932811    
0.0252597900    0.0190121460    0.0009651955    
0.0255013790    0.0190068280    0.0009575502    
0.0257429670    0.0200009240    0.0009841812    
0.0259845560    0.0180302760    0.0009237190    
0.0262261450    0.0189084920    0.0009513895    
0.0264677330    0.0191838320    0.0009474219    
0.0267093220    0.0206973960    0.0009767705    
0.0269509100    0.0195781280    0.0009553148    
0.0271924990    0.0200239770    0.0009589746    
0.0274340870    0.0181118560    0.0009171295    
0.0276756760    0.0170740660    0.0008758811    
0.0279172640    0.0196093160    0.0009369694    
0.0281588530    0.0183852850    0.0008960440    
0.0284004410    0.0185802430    0.0009087894    
0.0286420300    0.0196742410    0.0009173162    
0.0288836180    0.0183852850    0.0008960440    
0.0291252070    0.0183548480    0.0008770286    
0.0293667950    0.0190124840    0.0009033104    
0.0296083840    0.0177262580    0.0008618801    
0.0298499720    0.0188168090    0.0008910017    
0.0300915610    0.0185643790    0.0008820202    
0.0303331490    0.0203176330    0.0009150602    
0.0305747380    0.0162602220    0.0008079769    
0.0308163270    0.0174646830    0.0008373675    
0.0310579150    0.0183245450    0.0008619141    
0.0312995040    0.0178713170    0.0008443404    
0.0315410920    0.0169899090    0.0008193261    
0.0317826810    0.0169219790    0.0008151030    
0.0320242690    0.0166461710    0.0008008893    
0.0322658580    0.0177574870    0.0008389624    
0.0325074460    0.0187648830    0.0008477110    
0.0327490350    0.0182314370    0.0008330156    
0.0329906230    0.0190045170    0.0008415342    
0.0332322120    0.0175753960    0.0008141645    
0.0334738000    0.0174025060    0.0007993235    
