Frame	Rg	I(sum)
1	nan	-0.0262158
2	nan	0.0282592
3	nan	0.0294568
4	nan	0.007916
5	nan	0.0115331
6	nan	-0.00566556
7	nan	0.0440254
8	nan	-0.0333626
9	nan	-0.0259643
10	nan	-0.0299828
11	nan	0.0292837
12	nan	-0.0155854
13	nan	-0.0234587
14	nan	-0.0405212
15	nan	0.00399063
16	nan	-0.0120035
17	nan	0.0172201
18	nan	-0.0308547
19	nan	-0.00863314
20	nan	-0.048138
21	nan	-0.000975236
22	nan	-0.0525752
23	nan	-0.0432335
24	nan	-0.00485392
25	nan	-0.0161745
26	nan	0.00380642
27	nan	-0.0362699
28	nan	-0.0407586
29	nan	-0.0155407
30	nan	-0.0387947
31	nan	-0.0533834
32	nan	-0.0425524
33	nan	-0.0459836
34	nan	-0.0203925
35	nan	0.00258061
36	nan	-0.046514
37	nan	0.023371
38	nan	-0.0159058
39	nan	-0.0170464
40	nan	-0.0459442
41	nan	-0.0223067
42	nan	-0.00644725
43	nan	-0.0175413
44	nan	-0.0450923
45	nan	-0.0187844
46	nan	-0.0488648
47	nan	-0.0687316
48	nan	-0.0416685
49	nan	-0.0930414
50	nan	-0.0864022
51	nan	-0.0754367
52	nan	-0.0190025
53	nan	-0.0260375
54	nan	-0.0252198
55	nan	-0.0340551
56	nan	-0.0552133
57	nan	-0.0620455
58	nan	-0.0445761
59	nan	-0.0641375
60	nan	-0.0763197
61	nan	-0.086849
62	nan	-0.084269
63	nan	-0.112084
64	nan	-0.060501
65	nan	-0.0711338
66	nan	-0.0541543
67	nan	-0.0635373
68	nan	-0.0619551
69	nan	-0.0857424
70	nan	-0.0432272
71	nan	-0.0466128
72	nan	-0.0464103
73	nan	-0.0737458
74	nan	-0.0907835
75	nan	0.0275281
76	nan	-0.0783137
77	nan	-0.0318953
78	nan	-0.0332275
79	nan	-0.063002
80	nan	-0.0146874
81	nan	-0.0263751
82	nan	-0.070065
83	nan	-0.040219
84	nan	-0.0263164
85	nan	-0.0824849
86	nan	-0.00758326
87	nan	-0.0267277
88	nan	-0.0607355
89	nan	-0.0310232
90	nan	-0.0556456
91	nan	-0.0395071
92	nan	-0.013892
93	nan	-0.00214282
94	nan	-0.0704406
95	nan	-0.0284256
96	nan	1.35271e-005
97	nan	-0.0500109
98	nan	-0.0594476
99	nan	-0.0351618
100	nan	-0.0530206
101	nan	-0.0932354
102	nan	-0.0179438
103	nan	-0.0405505
104	nan	0.00707231
105	nan	-0.0490059
106	nan	-0.0106005
107	nan	-0.0350467
108	nan	-0.0482161
109	nan	-0.0695196
110	nan	-0.0159018
111	nan	0.000998621
112	nan	-0.0383563
113	nan	-0.0217618
114	nan	0.032253
115	nan	0.00911674
116	nan	-0.0166342
117	nan	-0.0457246
118	nan	-0.0794279
119	nan	0.0117115
120	nan	-0.00643603
121	nan	-0.0153147
122	nan	-0.0467689
123	nan	-0.0326834
124	nan	-0.0283855
125	nan	-0.00944936
126	nan	-0.0781008
127	nan	-0.0220925
128	nan	-0.0564156
129	nan	-0.0258279
130	nan	-0.030568
131	nan	0.0324971
132	nan	0.0107369
133	nan	0.000445314
134	nan	-0.0519219
135	nan	0.0252212
136	nan	-0.07085
137	nan	-0.0366559
138	nan	0.00439592
139	nan	0.0256847
140	nan	-0.0160383
141	nan	-0.00611
142	nan	-0.0411413
143	nan	-0.0365094
144	nan	-0.0256186
145	nan	-0.0489402
146	nan	-0.0348888
147	nan	-0.0675927
148	nan	-0.0340131
149	nan	0.0158673
150	nan	-0.0489659
151	nan	-0.0313017
152	nan	-0.040878
153	nan	-0.0337412
154	nan	0.00628202
155	nan	-0.0419416
156	nan	-0.0513789
157	nan	-0.0639706
158	nan	-0.0460606
159	nan	-0.039367
160	nan	-0.0278363
161	nan	-0.050184
162	nan	-0.0456957
163	nan	-0.0116312
164	nan	0.0145553
165	nan	-0.0230604
166	nan	-0.028526
167	nan	-0.0445885
168	nan	-0.0580796
169	nan	-0.0307015
170	nan	-0.0212708
171	nan	-0.0858565
172	nan	-0.0586787
173	nan	-0.0714274
174	nan	-0.0648799
175	nan	-0.0461353
176	nan	-0.0816549
177	nan	-0.0711977
178	nan	0.0141218
179	nan	-0.0635265
180	nan	-0.0256363
181	nan	-0.0114091
182	nan	-0.0126142
183	nan	-0.00900065
184	nan	-0.0157543
185	nan	-0.0122928
186	nan	-0.0323701
187	nan	0.00200019
188	nan	0.000352392
189	nan	-0.041571
190	nan	-0.0634252
191	nan	-0.0349644
192	nan	-0.0246464
193	nan	-0.0347693
194	nan	0.00978617
195	nan	-0.0515568
196	nan	-0.00120669
197	nan	-0.0450359
198	nan	-0.0337472
199	nan	0.0228243
200	nan	-0.0148629
201	nan	-0.0378903
202	nan	-0.0171206
203	nan	-0.0428204
204	nan	-0.0285627
205	nan	-0.0120116
206	nan	-0.0174584
207	nan	-0.0181665
208	nan	-0.0225185
209	nan	-0.0152053
210	nan	0.0100919
211	nan	0.00443142
212	nan	0.000285484
213	nan	-0.0298881
214	nan	0.0313004
215	nan	-0.0311138
216	nan	0.0249663
217	nan	-0.00642367
218	nan	-0.0051258
219	nan	-0.00583298
220	nan	0.00675853
221	nan	-0.0225371
222	nan	-0.0321872
223	nan	-0.013719
224	nan	0.0296129
225	nan	-0.00498147
226	nan	-0.0229692
227	nan	0.00605174
228	nan	-0.0163448
229	nan	-0.0397785
230	nan	0.014743
231	nan	-0.000125648
232	nan	-0.0424627
233	nan	-0.00915354
234	nan	-0.00407835
235	nan	-0.0245121
236	nan	0.0149938
237	nan	-0.000594062
238	nan	0.030951
239	nan	-0.0179428
240	nan	0.000855518
241	nan	0.00320075
242	nan	-0.0208969
243	nan	-0.0509947
