Sample description: Diamond Light Source Ltd
Parent(s): sample_avg.dat
 4.000000e-003 -2.547336e-002  1.015145e-002
 4.241588e-003  5.318009e-002  9.986218e-003
 4.483177e-003  5.960324e-002  8.248870e-003
 4.724766e-003  7.431470e-002  7.168755e-003
 4.966354e-003  7.623442e-002  6.086397e-003
 5.207943e-003  8.375279e-002  5.726852e-003
 5.449531e-003  8.119164e-002  4.718958e-003
 5.691120e-003  8.998273e-002  4.374642e-003
 5.932708e-003  8.317506e-002  3.879227e-003
 6.174297e-003  7.987558e-002  3.420439e-003
 6.415885e-003  8.195906e-002  3.194221e-003
 6.657474e-003  8.737773e-002  2.827742e-003
 6.899062e-003  8.880218e-002  2.736790e-003
 7.140651e-003  9.003248e-002  2.564341e-003
 7.382239e-003  9.224609e-002  2.403246e-003
 7.623828e-003  8.646070e-002  2.196927e-003
 7.865416e-003  8.828367e-002  2.132359e-003
 8.107005e-003  9.058079e-002  2.041040e-003
 8.348593e-003  8.629391e-002  1.880931e-003
 8.590182e-003  9.151321e-002  1.870286e-003
 8.831771e-003  9.181042e-002  1.765725e-003
 9.073359e-003  8.651824e-002  1.698028e-003
 9.314948e-003  9.232067e-002  1.621778e-003
 9.556536e-003  8.978030e-002  1.583635e-003
 9.798125e-003  8.933327e-002  1.549201e-003
 1.003971e-002  9.254661e-002  1.487008e-003
 1.028130e-002  9.385070e-002  1.493154e-003
 1.052289e-002  9.049770e-002  1.380076e-003
 1.076448e-002  9.185076e-002  1.389693e-003
 1.100607e-002  9.110852e-002  1.332500e-003
 1.124766e-002  9.080782e-002  1.316370e-003
 1.148924e-002  9.020921e-002  1.278222e-003
 1.173083e-002  8.929079e-002  1.259637e-003
 1.197242e-002  8.744836e-002  1.220313e-003
 1.221401e-002  8.853439e-002  1.204846e-003
 1.245560e-002  9.078052e-002  1.173025e-003
 1.269719e-002  9.081936e-002  1.187108e-003
 1.293878e-002  9.138312e-002  1.131143e-003
 1.318036e-002  8.906364e-002  1.132208e-003
 1.342195e-002  8.891582e-002  1.091520e-003
 1.366354e-002  9.084903e-002  1.101184e-003
 1.390513e-002  9.095097e-002  1.089073e-003
 1.414672e-002  9.130191e-002  1.059555e-003
 1.438831e-002  8.881009e-002  1.038496e-003
 1.462990e-002  9.047761e-002  1.044444e-003
 1.487148e-002  8.824891e-002  1.041771e-003
 1.511307e-002  8.938815e-002  1.027118e-003
 1.535466e-002  8.883173e-002  9.840079e-004
 1.559625e-002  8.637730e-002  9.801252e-004
 1.583784e-002  8.816494e-002  9.706433e-004
 1.607943e-002  8.965618e-002  9.713485e-004
 1.632102e-002  8.897403e-002  9.384264e-004
 1.656260e-002  8.797430e-002  9.496133e-004
 1.680419e-002  8.871664e-002  9.166491e-004
 1.704578e-002  8.783842e-002  9.126800e-004
 1.728737e-002  8.870655e-002  9.097894e-004
 1.752896e-002  8.809788e-002  9.173182e-004
 1.777055e-002  8.656697e-002  9.067542e-004
 1.801213e-002  8.744521e-002  8.865515e-004
 1.825372e-002  8.799030e-002  8.691761e-004
 1.849531e-002  8.522706e-002  8.500258e-004
 1.873690e-002  8.462400e-002  8.469612e-004
 1.897849e-002  8.671748e-002  8.285524e-004
 1.922008e-002  8.609836e-002  8.415585e-004
 1.946167e-002  8.712088e-002  8.215597e-004
 1.970325e-002  8.525136e-002  8.232552e-004
 1.994484e-002  8.510067e-002  8.229997e-004
 2.018643e-002  8.412145e-002  8.095712e-004
 2.042802e-002  8.671294e-002  8.002258e-004
 2.066961e-002  8.476785e-002  7.853548e-004
 2.091120e-002  8.391030e-002  7.967912e-004
 2.115279e-002  8.344000e-002  7.700676e-004
 2.139437e-002  8.474821e-002  7.728330e-004
 2.163596e-002  8.350952e-002  7.735285e-004
 2.187755e-002  8.283345e-002  7.695555e-004
 2.211914e-002  8.248400e-002  7.529221e-004
 2.236073e-002  8.263785e-002  7.488255e-004
 2.260232e-002  8.487809e-002  7.795661e-004
 2.284391e-002  8.338070e-002  7.384442e-004
 2.308549e-002  8.238591e-002  7.324824e-004
 2.332708e-002  8.268152e-002  7.349664e-004
 2.356867e-002  8.349315e-002  7.433982e-004
 2.381026e-002  8.153212e-002  7.159815e-004
 2.405185e-002  8.168403e-002  7.144785e-004
 2.429344e-002  8.135912e-002  7.240815e-004
 2.453502e-002  8.146791e-002  7.141939e-004
 2.477661e-002  7.973997e-002  7.074600e-004
 2.501820e-002  8.076830e-002  7.156761e-004
 2.525979e-002  8.048303e-002  6.973191e-004
 2.550138e-002  7.864876e-002  6.836339e-004
 2.574297e-002  7.871673e-002  6.878094e-004
 2.598456e-002  7.796100e-002  6.767721e-004
 2.622614e-002  7.928309e-002  6.839652e-004
 2.646773e-002  7.855830e-002  6.738224e-004
 2.670932e-002  7.916473e-002  6.741648e-004
 2.695091e-002  7.924455e-002  6.741042e-004
 2.719250e-002  7.808794e-002  6.684870e-004
 2.743409e-002  7.632297e-002  6.646297e-004
 2.767568e-002  7.736900e-002  6.551648e-004
 2.791726e-002  7.721385e-002  6.571912e-004
 2.815885e-002  7.756118e-002  6.492042e-004
 2.840044e-002  7.662233e-002  6.519158e-004
 2.864203e-002  7.632176e-002  6.411318e-004
 2.888362e-002  7.555791e-002  6.402948e-004
 2.912521e-002  7.588555e-002  6.311524e-004
 2.936680e-002  7.550227e-002  6.374155e-004
 2.960838e-002  7.501315e-002  6.288545e-004
 2.984997e-002  7.567839e-002  6.361570e-004
 3.009156e-002  7.564112e-002  6.305158e-004
 3.033315e-002  7.575764e-002  6.257212e-004
 3.057474e-002  7.479991e-002  6.172097e-004
 3.081633e-002  7.380945e-002  6.098982e-004
 3.105791e-002  7.307273e-002  6.139491e-004
 3.129950e-002  7.326621e-002  6.075570e-004
 3.154109e-002  7.339858e-002  6.039588e-004
 3.178268e-002  7.215036e-002  6.011655e-004
 3.202427e-002  7.305209e-002  5.996652e-004
 3.226586e-002  7.355597e-002  6.061906e-004
 3.250745e-002  7.170361e-002  5.901988e-004
 3.274904e-002  7.037209e-002  5.870848e-004
 3.299062e-002  7.223309e-002  5.878236e-004
 3.323221e-002  7.024027e-002  5.836697e-004
 3.347380e-002  7.155433e-002  5.786979e-004
 3.371539e-002  7.049103e-002  5.739170e-004
 3.395698e-002  7.010564e-002  5.753473e-004
 3.419857e-002  6.966255e-002  5.750994e-004
 3.444015e-002  6.826336e-002  5.630539e-004
 3.468174e-002  6.853045e-002  5.684355e-004
 3.492333e-002  6.930594e-002  5.700500e-004
 3.516492e-002  6.799897e-002  5.565515e-004
 3.540651e-002  6.831082e-002  5.601821e-004
 3.564810e-002  6.697985e-002  5.473664e-004
 3.588969e-002  6.675133e-002  5.533482e-004
 3.613127e-002  6.564048e-002  5.432655e-004
 3.637286e-002  6.675761e-002  5.447739e-004
 3.661445e-002  6.594703e-002  5.469394e-004
 3.685604e-002  6.648327e-002  5.421867e-004
 3.709763e-002  6.600030e-002  5.456845e-004
 3.733922e-002  6.517424e-002  5.395221e-004
